"district","street_type","name"
"Шевченківський","Вулиця","Золота"
"Личаківський","Вулиця","Золочівська"
"Залізничний","Вулиця","Зоряна"
"Личаківський","Вулиця","Зрубова"
"Личаківський","Вулиця","Зубрицького Дениса"
"Сихівський","Вулиця","Зубрівська"
"Личаківський","Вулиця","Зустрічна"
"Личаківський","Вулиця","Івасюка Володимира"
"Личаківський","Вулиця","Ігорева"
"Шевченківський","Вулиця","Ільмова"
"Шевченківський","Вулиця","Інструментальна"
"Залізничний","Вулиця","Ірчана Мирослава"
"Личаківський","Вулиця","Йосипа Сліпого"
"Залізничний","Вулиця","Кавказька"
"Залізничний","Вулиця","Каганця Марка"
"Личаківський","Вулиця","Казахська"
"Галицький","Вулиця","Каліча Гора"
"Залізничний","Вулиця","Калнишевського Петра"
"Галицький","Вулиця","Каменярів"
"Залізничний","Вулиця","Камінна"
"Галицький","Вулиця","Кам'янецька"
"Шевченківський","Вулиця","Кам'янка"
"Франківський","Вулиця","Канівська"
"Залізничний","Вулиця","Караджича Вука"
"Шевченківський","Вулиця","Караїмська"
"Сихівський","Вулиця","Карбишева Дмитра"
"Сихівський","Вулиця","Карманського Петра"
"Личаківський","Вулиця","Кармелюка Устима"
"Личаківський","Вулиця","Карпатська"
"Франківський","Вулиця","Карпинця Івана"
"Залізничний","Вулиця","Карпінського Олександра"
"Франківський","Вулиця","Кастелівка"
"Галицький","Площа","Катедральна"
"Залізничний","Вулиця","Каховська"
"Личаківський","Вулиця","Качали Степана"
"Личаківський","Вулиця","Каштанова"
"Залізничний","Вулиця","Квітки-Основ'яненка Григорія"
"Франківський","Вулиця","Квітнева"
"Шевченківський","Вулиця","Квітова"
"Шевченківський","Вулиця","Кедрова"
"Франківський","Вулиця","Керамічна"
"Личаківський","Вулиця","Керченська"
"Галицький","Вулиця","Кибальчича Миколи"
"Франківський","Вулиця","Київська"
"Галицький","Вулиця","Кирила і Мефодія"
"Франківський","Вулиця","Кирилівська"
"Франківський","Вулиця","Китайська"
"Франківський","Вулиця","Кишинівська"
"Личаківський","Вулиця","Кінцева"
"Шевченківський","Вулиця","Клепарівська"
"Личаківський","Вулиця","Кльоновича Себастіяна"
"Франківський","Вулиця","Княгині Ольги"
"Шевченківський","Вулиця","Княжа"
"Франківський","Вулиця","Князя Мстислава Удатного"
"Галицький","Вулиця","Князя Романа"
"Галицький","Площа","Князя Святослава"
"Галицький","Площа","Князя Ярослава Осмомисла"
"Залізничний","Вулиця","Кобзарська"
"Галицький","Вулиця","Кобилиці Лук'яна"
"Шевченківський","Вулиця","Кобилиці Лук'яна"
"Франківський","Вулиця","Кобилянської Ольги"
"Франківський","Вулиця","Кобринської Наталії"
"Франківський","Вулиця","Ковалева Сергія"
"Шевченківський","Вулиця","Ковалевської Софі"
"Личаківський","Вулиця","Ковальська"
"Личаківський","Вулиця","Ковельська"
"Шевченківський","Вулиця","Коверка Андрія"
"Личаківський","Вулиця","Ковжуна Петра"
"Личаківський","Вулиця","Козацька"
"Галицький","Вулиця","Козельницька"
"Личаківський","Вулиця","Козика Михайла"
"Личаківський","Вулиця","Козланюка Петра"
"Сихівський","Вулиця","Козловського Олександра"
"Залізничний","Вулиця","Кознярівка"
"Залізничний","Вулиця","Кузнярівка"
"Франківський","Вулиця","Кокорудза Іллі"
"Галицький","Вулиця","Колесси Філарета"
"Галицький","Площа","Коліївщини"
"Галицький","Вулиця","Колійна"
"Сихівський","Вулиця","Колісна"
"Сихівський","Вулиця","Колодзінського Михайла"
"Шевченківський","Вулиця","Колодійська"
"Сихівський","Вулиця","Колодязна"
"Сихівський","Вулиця","Коломийська"
"Шевченківський","Вулиця","Колоскова"
"Личаківський","Вулиця","Колумба Христофора"
"Франківський","Вулиця","Кольберга Оскара"
"Франківський","Вулиця","Комаринця Теофіла"
"Залізничний","Вулиця","Комарова Володимира"
"Залізничний","Вулиця","Кондратюка Юрія"
"Франківський","Вулиця","Кондукторська"
"Личаківський","Вулиця","Кониського Олександра"
"Франківський","Вулиця","Коновальця Євгена"
"Личаківський","Вулиця","Конопницької Марії"
"Франківський","Вулиця","Конотопська"
"Личаківський","Вулиця","Конюшинна"
"Сихівський","Вулиця","Кооперативна"
"Личаківський","Вулиця","Копальна"
"Франківський","Вулиця","Копача Івана"
"Галицький","Вулиця","Коперника Максима"
"Франківський","Вулиця","Копистинського Теофіла"
"Галицький","Вулиця","Кордуби Мирона"
"Личаківський","Вулиця","Корейська"
"Личаківський","Вулиця","Корецька"
"Шевченківський","Вулиця","Корінна"
"Галицький","Вулиця","Корнякта Костянтина"
"Личаківський","Вулиця","Короленка Володимира"
"Галицький","Вулиця","Корольова Сергія"
"Личаківський","Вулиця","Коротка"
"Личаківський","Вулиця","Корпанюків"
"Залізничний","Вулиця","Корсунська"
"Шевченківський","Вулиця","Кортумівка"
"Залізничний","Вулиця","Корякська"
"Сихівський","Вулиця","Кос-Анатольського"
"Залізничний","Вулиця","Косинського Криштофа"
"Шевченківський","Вулиця","Космічна"
"Галицький","Вулиця","Костомарова Миколи"
"Галицький","Вулиця","Костюшка Тадеуша"
"Залізничний","Вулиця","Котика Бориса"
"Франківський","Вулиця","Котка Дмитра"
"Франківський","Вулиця","Котляревського Івана"
"Залізничний","Вулиця","Котлярська"
"Франківський","Вулиця","Коциловського Йосафата"
"Шевченківський","Вулиця","Коцка Андрія"
"Шевченківський","Вулиця","Коцюбинського Михайла"
"Залізничний","Вулиця","Кочегарська"
"Галицький","Вулиця","Кошиця Олександра"
"Личаківський","Вулиця","Кошова"
"Галицький","Вулиця","Кравецька"
"Личаківський","Вулиця","Кравса Антона"
"Франківський","Вулиця","Кравченко Ульяна"
"Личаківський","Вулиця","Кравчука Михайла"
"Личаківський","Вулиця","Крайня"
"Шевченківський","Вулиця","Краківська"
"Галицький","Вулиця","Красівська"
"Личаківський","Вулиця","Краснянська"
"Шевченківський","Вулиця","Кревецького Ігора"
"Франківський","Вулиця","Кременецька"
"Шевченківський","Вулиця","Крехівська"
"Личаківський","Вулиця","Кривоноса Максима"
"Личаківський","Вулиця","Кривчицька Дорога"
"Личаківський","Вулиця","Кримська"
"Личаківський","Вулиця","Крип'якевича Івана"
"Залізничний","Вулиця","Кричевського Михайла"
"Франківський","Вулиця","Кропивницького Марка"
"Шевченківський","Вулиця","Кругла"
"Галицький","Вулиця","Кругова"
"Личаківський","Вулиця","Круп'ярська"
"Шевченківський","Вулиця","Крута"
"Личаківський","Вулиця","Крушельницької Софії"
"Галицький","Вулиця","Кубанська"
"Галицький","Вулиця","Кубійовича Володимира"
"Франківський","Вулиця","Кузневича Григорія"
"Личаківський","Вулиця","Кузьми"
"Личаківський","Вулиця","Кукурудзяна"
"Франківський","Вулиця","Куликівська"
"Личаківський","Вулиця","Куліша Пантелеймона"
"Франківський","Вулиця","Кульпарківська"
"Шевченківський","Вулиця","Кульчицької Олени"
"Франківський","Вулиця","Купали Янка"
"Шевченківський","Вулиця","Купальська"
"Шевченківський","Вулиця","Купчинського Романа"
"Галицький","Вулиця","Курбаса Леся"
"Галицький","Вулиця","Курильська"
"Личаківський","Вулиця","Курінна"
"Залізничний","Вулиця","Курмановича Віктора"
"Личаківський","Вулиця","Кутова"
"Шевченківський","Вулиця","Кучера Романа"
"Шевченківський","Вулиця","Кушевича Самуїла"
"Шевченківський","Вулиця","Кущова"
"Шевченківський","Вулиця","Лазнева"
"Шевченківський","Вулиця","Ламана"
"Шевченківський","Вулиця","Ланова"
"Залізничний","Вулиця","Ластів'яча"
"Личаківський","Вулиця","Латвійська"
"Личаківський","Вулиця","Лебедина"
"Залізничний","Вулиця","Левандівська"
"Франківський","Вулиця","Левинського Івана"
"Личаківський","Вулиця","Левицького Костянтина"
"Личаківський","Вулиця","Лемика Миколи"
"Шевченківський","Вулиця","Лемківська"
"Шевченківський","Вулиця","Ленона Джона"
"Шевченківський","Вулиця","Леонтовича Миколи"
"Галицький","Вулиця","Лепкого Богдана"
"Залізничний","Вулиця","Ливарна"
"Личаківський","Вулиця","Лижв'ярська"
"Шевченківський","Вулиця","Липи Юрія"
"Шевченківський","Вулиця","Липинського В'ячеслава"
"Личаківський","Вулиця","Липинського В'ячеслава"
"Личаківський","Вулиця","Липківського Василя"
"Франківський","Площа","Липнева"
"Галицький","Вулиця","Липова Алея"
"Сихівський","Вулиця","Липова Алея"
"Личаківський","Вулиця","Лисеницька"
"Личаківський","Вулиця","Лисенка Миколи"
"Залізничний","Вулиця","Листова"
"Сихівський","Вулиця","Листопадна"
"Галицький","Вулиця","Листопадового чину"
"Залізничний","Вулиця","Листопадового чину"
"Сихівський","Вулиця","Литвиненка Сергія"
"Галицький","Вулиця","Литовська"
"Личаківський","Вулиця","Личаківська"
"Залізничний","Вулиця","Лікувальна"
"Шевченківський","Вулиця","Лінкольна Авраама"
"Сихівський","Вулиця","Лірницька"
"Личаківський","Вулиця","Лісна"
"Сихівський","Вулиця","Лісна"
"Галицький","Вулиця","Ліста Ференца"
"Франківський","Вулиця","Ліська"
"Галицький","Вулиця","Літня"
"Залізничний","Вулиця","Ліщинова"
"Шевченківський","Вулиця","Лобачевського"
"Залізничний","Вулиця","Ловецька"
"Личаківський","Вулиця","Лодія Петра"
"Личаківський","Вулиця","Лотоцького Антона"
"Сихівський","Вулиця","Луганська"
"Залізничний","Вулиця","Лугова"
"Залізничний","Вулиця","Лукасевича Гната"
"Франківський","Вулиця","Лукаша Миколи"
