"district","street_type","name"
"Святошинський","Вулиця","Дев'ятого Травня"
"Оболонський","Вулиця","Дегтяренка Петра"
"Шевченківський","Вулиця","Дегтярівська"
"Подільський","Вулиця","Дегтярна"
"Солом'янський","Вулиця","Дежнєва"
"Солом'янський","Провулок","Дежнєва"
"Дарницький","Вулиця","Декабристів"
"Шевченківський","Провулок","Делегатський"
"Дарницький","Вулиця","Демидівська"
"Голосіївський","Вулиця","Деміївська"
"Голосіївський","Провулок","Деміївський"
"Святошинський","Вулиця","Депутатська"
"Голосіївський","Вулиця","Деревообробна"
"Голосіївський","Провулок","Деревообробний"
"Деснянський","Провулок","Десенський"
"Деснянський","Вулиця","Деснянська"
"Солом'янський","Вулиця","Деснянська"
"Шевченківський","Вулиця","Десятинна"
"Шевченківський","Провулок","Десятинний"
"Подільський","Вулиця","Джаліля Муси"
"Дарницький","Вулиця","Джерельна"
"Оболонський","Вулиця","Джерельна"
"Оболонський","Провулок","Джерельний"
"Деснянський","Вулиця","Дзержинського"
"Голосіївський","Площа","Дзержинського"
"Оболонський","Вулиця","Дибенка Павла"
"Дарницький","Провулок","Диканський"
"Святошинський","Вулиця","Димерська"
"Голосіївський","Вулиця","Димитрова"
"Печерський","Вулиця","Димитрова"
"Деснянський","Вулиця","Димитрова"
"Голосіївський","Вулиця","Дібровна"
"Голосіївський","Провулок","Дібровний"
"Подільський","Вулиця","Дмитрівська"
"Шевченківський","Вулиця","Дмитрівська"
"Дарницький","Вулиця","Дніпрова"
"Дарницький","Провулок","Дніпровий"
"Оболонський","Вулиця","Дніпроводська"
"Дарницький","Набережна","Дніпровська"
"Дніпровський","Набережна","Дніпровська"
"Печерський","Узвіз","Дніпровський"
"Дарницький","Вулиця","Дніпродзержинська"
"Солом'янський","Вулиця","Дніпропетровська"
"Голосіївський","Шосе","Дніпропетровське"
"Солом'янський","Вулиця","Дністровська"
"Голосіївський","Вулиця","Добрий Шлях"
"Оболонський","Вулиця","Добрининська"
"Печерський","Вулиця","Добролюбова"
"Печерський","Провулок","Добролюбова"
"Солом'янський","Вулиця","Добросусідська"
"Солом'янський","Провулок","Добросусідський"
"Святошинський","Вулиця","Доброхотова Академіка"
"Солом'янський","Вулиця","Добрузька"
"Голосіївський","Вулиця","Доватора Генерала"
"Голосіївський","Провулок","Доватора Генерала"
"Дніпровський","Вулиця","Довбуша Олекси"
"Деснянський","Вулиця","Довженка"
"Шевченківський","Вулиця","Довженка Олександра"
"Шевченківський","Вулиця","Довнар-Запольського"
"Солом'янський","Вулиця","Докучаєвська"
"Солом'янський","Провулок","Докучаєвський"
"Солом'янський","Тупик","Докучаєвський"
"Солом'янський","Вулиця","Долинна"
"Солом'янський","Вулиця","Донецька"
"Солом'янський","Провулок","Донецький"
"Солом'янський","Вулиця","Донська"
"Дарницький","Провулок","Донський"
"Солом'янський","Провулок","Донський"
"Солом'янський","Вулиця","Донця Михайла"
"Шевченківський","Вулиця","Дончука Василя"
"Шевченківський","Вулиця","Дорогожицька"
"Подільський","Вулиця","Достоєвського"
"Подільський","Провулок","Достоєвського"
"Дарницький","Вулиця","Драгоманова"
"Печерський","Вулиця","Драгомирова Михайла"
"Деснянський","Вулиця","Драйзера Теодора"
"Дарницький","Вулиця","Дружби"
"Дарницький","Провулок","Дружби 1-й"
"Дарницький","Провулок","Дружби 2-й"
"Дарницький","Провулок","Дружби 3-й"
"Голосіївський","Бульвар","Дружби народів"
"Печерський","Бульвар","Дружби народів"
"Оболонський","Площа","Дружби народів СРСР"
"Святошинський","Вулиця","Дружківська"
"Солом'янський","Вулиця","Дружня"
"Печерський","Вулиця","Дубенська"
"Голосіївський","Вулиця","Дубініна Володі"
"Дарницький","Вулиця","Дубового Івана"
"Оболонський","Вулиця","Дубровицька"
"Оболонський","Провулок","Дубровицький"
"Голосіївський","Вулиця","Дуки Степана"
"Святошинський","Вулиця","Дунаєвського"
"Святошинський","Провулок","Дунаєвського"
"Дніпровський","Вулиця","Дундича Олека"
"Дарницький","Вулиця","Дяченка Івана"
"Святошинський","Вулиця","Екскаваторна"
"Оболонський","Вулиця","Електриків"
"Подільський","Вулиця","Електриків"
"Подільський","Провулок","Електриків"
"Деснянський","Вулиця","Електротехнічна"
"Дарницький","Вулиця","Енгельса"
"Дарницький","Провулок","Енгельса"
"Солом'янський","Вулиця","Енергетиків"
"Солом'янський","Провулок","Енергетиків"
"Дніпровський","Вулиця","Ентузіастів"
"Голосіївський","Вулиця","Еренбурга Іллі"
"Солом'янський","Вулиця","Ернста Федора"
"Печерський","Вулиця","Еспланадна"
"Шевченківський","Вулиця","Естонська"
"Шевченківський","Провулок","Естонський"
"Шевченківський","Площа","Європейська"
"Голосіївський","Вулиця","Єнісейська"
"Солом'янський","Вулиця","Єреванська"
"Оболонський","Вулиця","Єрмака"
"Святошинський","Вулиця","Єсеніна Сергія"
"Шевченківський","Вулиця","Жабаєва Жамбила"
"Подільський","Вулиця","Жашківська"
"Дарницький","Вулиця","Жданова"
"Дарницький","Провулок","Жданова"
"Шевченківський","Вулиця","Желябова"
"Святошинський","Вулиця","Живописна"
"Голосіївський","Вулиця","Жигулівська"
"Голосіївський","Вулиця","Жилянська"
"Шевченківський","Вулиця","Жилянська"
"Шевченківський","Вулиця","Житкова Бориса"
"Шевченківський","Вулиця","Житньоторзька"
"Шевченківський","Площа","Житньоторзька"
"Дніпровський","Вулиця","Жмаченка Генерала"
"Святошинський","Вулиця","Жмеринська"
"Святошинський","Провулок","Жмеринський"
"Святошинський","Вулиця","Жовтнева"
"Святошинський","Вулиця","Жовтнева"
"Святошинський","Провулок","Жовтневий"
"Святошинський","Вулиця","Жолудєва"
"Голосіївський","Вулиця","Жуків затон"
"Деснянський","Вулиця","Жукова Маршала"
"Голосіївський","Вулиця","Жуковського Василя"
"Голосіївський","Провулок","Жуковського Василя"
"Голосіївський","Вулиця","Жулянська"
"Голосіївський","Вулиця","Забіли Віктора"
"Голосіївський","Вулиця","Заболотного Академіка"
"Дарницький","Вулиця","Завальна"
"Подільський","Вулиця","Заводська"
"Дарницький","Провулок","Заводський"
"Оболонський","Площа","Загороднього Михайла"
"Печерський","Вулиця","Задніпровського Михайла"
"Голосіївський","Провулок","Задорожний"
"Голосіївський","Вулиця","Закарпатська"
"Деснянський","Вулиця","Закревського Миколи"
"Солом'янський","Вулиця","Залізнична"
"Печерський","Шосе","Залізничне"
"Святошинський","Вулиця","Залізняка Максима"
